node,lat,lon,name,tags
303309510,35.648628,139.559219,"ネパール・インドレストラン＆バークオリティー国領店（QUALITY）, ネパール・インドレストラン＆バークオリティー国領店（QUALITY）, 餃子製作直売所餃子王King, 餃子製作直売所餃子王King","['インドカレー', 'インド料理', 'ネパール料理', '飲食店', 'インドカレー', 'インド料理', 'ネパール料理', '飲食店', '餃子', '飲食店', '餃子', '飲食店']"
303687635,35.63483,139.578705,野川の桜,"['観光', '遊ぶ', '花見']"
304161246,35.657677,139.575241,"エビスつつじヶ丘店, エビスつつじヶ丘店","['もつ鍋', '居酒屋', '日本酒バー', '飲食店', 'もつ鍋', '居酒屋', '日本酒バー', '飲食店']"
304161250,35.657188,139.576843,"洋食亭アゼリア, 洋食亭アゼリア","['イタリアン', 'フレンチ', '洋食', '飲食店', 'イタリアン', 'フレンチ', '洋食', '飲食店']"
304161261,35.658253,139.574554,"やきとり鳥次郎, やきとり鳥次郎, ガスト京王リトナードつつじヶ丘店, ガスト京王リトナードつつじヶ丘店, シェ・レカミエ京王リトナードつつじヶ丘店, シェ・レカミエ京王リトナードつつじヶ丘店, ルパつつじヶ丘店（Lerepas）, ルパつつじヶ丘店（Lerepas）, 万葉そばつつじヶ丘店, 万葉そばつつじヶ丘店, 真誠家つつじヶ丘店, 真誠家つつじヶ丘店","['焼き鳥', '居酒屋', '飲食店', '焼き鳥', '居酒屋', '飲食店', 'ファミレス', '飲食店', 'ファミレス', '飲食店', 'ケーキ', '飲食店', 'ケーキ', '飲食店', 'カフェ', 'パン', 'サンドイッチ', '飲食店', 'カフェ', 'パン', 'サンドイッチ', '飲食店', 'そば', 'うどん', 'カレー', '飲食店', 'そば', 'うどん', 'カレー', '飲食店', 'ラーメン', '飲食店', 'ラーメン', '飲食店']"
304161285,35.657436,139.573227,"とんかつ牧, とんかつ牧, 今木屋, 今木屋, 和菓子ささき, 和菓子ささき, 柴崎亭つつじヶ丘本店, 柴崎亭つつじヶ丘本店, 焼肉ほれぼれつつじヶ丘, 焼肉ほれぼれつつじヶ丘, 笑顔亭つつじケ丘店, 笑顔亭つつじケ丘店, 食堂一休, 食堂一休","['とんかつ', '飲食店', 'とんかつ', '飲食店', '和菓子', '飲食店', '和菓子', '飲食店', '和菓子', '飲食店', '和菓子', '飲食店', 'ラーメン', '飲食店', 'ラーメン', '飲食店', '焼肉', 'ホルモン', '居酒屋', '飲食店', '焼肉', 'ホルモン', '居酒屋', '飲食店', '居酒屋', '飲食店', '居酒屋', '飲食店', '食堂', '飲食店', '食堂', '飲食店']"
304161291,35.657814,139.574112,"ぎょうざの満洲つつじヶ丘北口店, ぎょうざの満洲つつじヶ丘北口店, にくやまるじ（【旧店名】やきとんまるじ）, にくやまるじ（【旧店名】やきとんまるじ）","['中華料理', '餃子', 'ラーメン', '飲食店', '中華料理', '餃子', 'ラーメン', '飲食店', 'もつ焼き', '居酒屋', '飲食店', 'もつ焼き', '居酒屋', '飲食店']"
304161297,35.658092,139.573578,"PatisserieYUTAoguravisionY（パティスリーユウタオグラビジョンワイ）, PatisserieYUTAoguravisionY（パティスリーユウタオグラビジョンワイ）, SAKAMOTO（コーヒーバイセンサカモト）, SAKAMOTO（コーヒーバイセンサカモト）","['洋菓子', '飲食店', '洋菓子', '飲食店', '喫茶店', 'カフェ', '飲食店', '喫茶店', 'カフェ', '飲食店']"
304161312,35.656456,139.574051,常楽院(思い出のアルバム歌碑),"['観光', '遊ぶ', '寺', '神社', '教会', '観光', '遊ぶ', '名所', '史跡']"
304773319,35.65189,139.566162,"ラーメン悔いなし, ラーメン悔いなし","['ラーメン', '油そば・まぜそば', '飲食店', 'ラーメン', '油そば・まぜそば', '飲食店']"
