name,lat,lon,hp,tags
マイクロカフェ調布深大寺店（micro-cafe）,35.667522,139.561752,http://www.micro-cafe.com,"['カフェ', '日本料理', '居酒屋', '飲食店']"
やきとり家すみれ調布駅前店,35.651505,139.545822,https://y-smile.co.jp/chofuekimae,"['焼き鳥', '居酒屋', 'バル', '飲食店']"
マクドナルド国領イトーヨーカドー店,35.64819,139.565018,-,"['ハンバーガー', '飲食店']"
東風庵（コチアン）,35.660465,139.583481,-,"['そば', '飲食店']"
はなまるうどんホームズ仙川店,35.659092,139.586258,http://www.hanamaruudon.com/,"['うどん', 'カレーうどん', 'カレー', '飲食店']"
星月（せいげつ）,35.648514,139.562637,http://chofu.com/units/36243/seigetsu/,"['そば', 'うどん', 'かつ丼', '飲食店']"
出雲そばやくも（やくも）,35.653118,139.545898,-,"['そば', '飲食店']"
park,35.673523,139.545456,http://thisispark.jp/,"['カフェ', 'ドーナツ', '飲食店']"
魚と酒菜猿側（サカナトサカナエンガワ）,35.655125,139.548019,-,"['居酒屋', '海鮮', '日本料理', '飲食店']"
洋風酒場HIRO（ヨウフウサカバヒロ）,35.651993,139.546371,-,"['居酒屋', '創作料理', '飲食店']"
焼肉きんぐ調布店,35.647449,139.546967,https://www.yakiniku-king.jp/,"['焼肉', '飲食店']"
増田屋西調布店（ますだや）,35.656143,139.529556,http://www.nishichofu.com/map/masudaya.html,"['そば', 'うどん', '丼', '飲食店']"
漁帆,35.652164,139.544556,-,"['居酒屋', '海鮮', '焼き鳥', '飲食店']"
餃子製作直売所餃子王King,35.648628,139.559219,-,"['餃子', '飲食店']"
竹乃家,35.642658,139.537552,http://takenoya-unagi.com/,"['日本料理', 'うなぎ', '飲食店']"
鮒宿,35.65292,139.564697,https://nagashisoumen-funayado.jimdofree.com/,"['日本料理', '麺類', '天ぷら', '飲食店']"
鴨と蟹中華そば猿,35.64856,139.542923,-,"['ラーメン', '飲食店']"
カフェペルシェ（CafePerche）,35.662872,139.58461,-,"['カフェ', 'バー', 'オーガニック', '飲食店']"
薪窯ピッツァ調布,35.637394,139.55455,-,"['ピザ', 'カフェ', '飲食店']"
センガワポワール（sengawapoire）,35.661644,139.585587,-,"['カフェ', 'ハンバーグ', 'パスタ', '飲食店']"
