,node,lat,lon,name,tags
0,1749420723,35.6516312,139.544765,"['ローソン 調布布田四丁目店', '調布駅', '都市型保育園ポポラー東京調布園']","['保育園', 'ローソン', 'コンビニ', '駅']"
1,1749420750,35.6497462,139.5517134,"['セブン-イレブン 調布布田駅前店', 'らむじゃむ', '布田駅']","['セブンイレブン', '飲食店', '肉料理', 'コンビニ', '駅']"
2,7683200692,35.6500778,139.5582624,['国領駅'],['駅']
3,300259355,35.6542086,139.5666707,"['NAAN（ナン）', '柴崎駅']","['飲食店', 'ダイニングバー', 'インドカレー', '駅']"
4,9867389542,35.6581427,139.5754005,['つつじヶ丘駅'],['駅']
5,9867389551,35.6571208,139.5301728,"['西調布駅', '調布市立西調布南第3自転車等駐車場']","['駐輪場', '駅']"
6,9944168469,35.6602614,139.5231613,['飛田給駅'],['駅']
7,1679079319,35.6449464,139.5371191,['京王多摩川駅'],['駅']
8,5106445096,35.6509849,139.5429763,"['ローソン 調布駅南口店', '放課後等デイサービスぴっころ']","['ローソン', 'コンビニ']"
9,5118739853,35.6542563,139.5475655,['ローソン 調布布田店'],"['ローソン', 'コンビニ']"
10,306138103,35.6499317,139.5591952,"['ローソン 調布国領町三丁目店', '国領駅南口市営駐車場']","['ローソン', 'コンビニ']"
11,1801192789,35.6735627,139.5450817,"['park', 'ローソン 調布深大寺北町一丁目店']","['飲食店', 'ローソン', 'ドーナツ', 'カフェ', 'コンビニ']"
12,1787435556,35.6511303,139.5300286,['ローソン 調布多摩川一丁目店'],"['ローソン', 'コンビニ']"
13,11192941601,35.652142,139.5425801,['ローソン 調布小島町二丁目店'],"['ローソン', 'コンビニ']"
14,1665566559,35.6433985,139.5384387,['ローソン 調布多摩川店'],"['ローソン', 'コンビニ']"
15,393810950,35.6622756,139.5844392,['ローソン 仙川駅前店'],"['ローソン', 'コンビニ']"
16,9924439598,35.6569721,139.5304491,['ローソンストア100 西調布駅前店'],"['ローソンストア', 'コンビニ']"
17,4762171956,35.6601751,139.5227048,['ローソン 飛田給駅南口店'],"['ローソン', 'コンビニ']"
18,1665566566,35.6446147,139.536927,['ローソン 京王多摩川駅店'],"['ローソン', 'コンビニ']"
19,1682418674,35.6575912,139.5730089,['ローソン 西つつじヶ丘三丁目店'],"['ローソン', 'コンビニ']"
20,307350659,35.6539991,139.5679362,['ローソンストア100 柴崎駅南口店'],"['ローソンストア', 'コンビニ']"
21,6963272636,35.6614504,139.523312,['ローソンストア100 飛田給駅北口店'],"['ローソンストア', 'コンビニ']"
22,1477835066,35.6537344,139.5462875,['ファミリーマート 調布駅北店'],"['ファミリーマート', 'コンビニ']"
23,10178386367,35.6508381,139.5440543,['ファミリーマート 調布駅南口店'],"['ファミリーマート', 'コンビニ']"
24,2643378450,35.6581359,139.536099,['ファミリーマート 調布インター店'],"['ファミリーマート', 'コンビニ']"
25,1314217209,35.6511401,139.5826881,['ファミリーマート 調布若葉町店'],"['ファミリーマート', 'コンビニ']"
26,996411732,35.653123,139.5406993,['ファミリーマート 調布小島町店'],"['ファミリーマート', 'コンビニ']"
27,2551899763,35.6677788,139.5355576,['ファミリーマート 調布天文台通り店'],"['ファミリーマート', 'コンビニ']"
28,1656988603,35.6588332,139.5399387,['ファミリーマート 調布武蔵境通り店'],"['ファミリーマート', 'コンビニ']"
29,6524033739,35.653248,139.544199,['ファミリーマート 調布天神通り店'],"['ファミリーマート', 'コンビニ']"
30,8497048034,35.6465147,139.5409268,"['ファミリーマート 調布小島町三丁目店', '光ケ丘仲よし公園']","['公園・児童遊園', 'ファミリーマート', 'コンビニ', '公園']"
31,1973774227,35.6381498,139.5531517,['ファミリーマート 調布染地二丁目店'],"['ファミリーマート', 'コンビニ']"
32,7271311799,35.6659296,139.589112,['ファミリーマート 調布緑ヶ丘店'],"['ファミリーマート', 'コンビニ']"
33,1872456682,35.6619664,139.5493213,['ファミリーマート 調布深大寺元町店'],"['ファミリーマート', 'コンビニ']"
34,1754956120,35.6604725,139.5719024,['ファミリーマート 調布つつじヶ丘店'],"['ファミリーマート', 'コンビニ']"
35,433785180,35.64539,139.5558829,['ファミリーマート 調布品川通り店'],"['ファミリーマート', 'コンビニ']"
36,484686423,35.6649909,139.5654416,['ファミリーマート 調布上ノ原店'],"['ファミリーマート', 'コンビニ']"
37,7235118846,35.6506912,139.5876453,['ファミリーマート 調布入間町店'],"['ファミリーマート', 'コンビニ']"
38,1865212803,35.6485696,139.5681242,['ファミリーマート 国領八丁目店'],"['ファミリーマート', 'コンビニ']"
39,7274629713,35.6619224,139.5869871,['ファミリーマート 調布仙川町一丁目店'],"['ファミリーマート', 'コンビニ']"
40,310387507,35.6567591,139.5303413,['ファミリーマート 西調布駅前店'],"['ファミリーマート', 'コンビニ']"
41,2578884540,35.6625513,139.552718,['ファミリーマート 深大寺南町店'],"['ファミリーマート', 'コンビニ']"
42,6524088409,35.6526489,139.5455819,['セブン-イレブン 調布駅北口店'],"['セブンイレブン', 'コンビニ']"
43,1494166059,35.651627,139.5460277,['セブン-イレブン 調布駅東口店'],"['セブンイレブン', 'コンビニ']"
44,10271619524,35.6467624,139.5490046,['セブン-イレブン 調布品川通り店'],"['セブンイレブン', 'コンビニ']"
45,394325789,35.6593005,139.5432476,"['セブン-イレブン 調布富士見２丁目店', 'セブン-イレブン 調布富士見２丁目']","['セブンイレブン', 'コンビニ']"
46,1749420765,35.6488462,139.5452069,['セブン-イレブン 調布布田４丁目店'],"['セブンイレブン', 'コンビニ']"
