lon,lat
139.575394,35.657276
139.573883,35.658527
139.57422,35.65901
139.544205,35.668961
139.544846,35.671127
139.538742,35.657139
139.53523,35.64797
139.55517,35.64862
139.537292,35.654095
139.52774,35.655949
139.52742,35.652252
139.547256,35.653782
139.551651,35.659046
139.55087,35.65065
139.545898,35.653118
139.547302,35.654186
139.546265,35.65432
139.538025,35.65855
139.529999,35.654072
139.546249,35.675404
139.56115,35.66636
139.58786,35.660221
139.584534,35.661591
139.583923,35.662617
139.558182,35.680248
139.545364,35.652275
139.545929,35.65189
139.531784,35.653069
139.528259,35.655136
139.536987,35.644192
139.524429,35.681835
139.54744,35.651031
139.542877,35.654064
139.544739,35.652508
139.5401,35.654888
139.552826,35.667545
139.550781,35.667267
139.584106,35.663769
139.567734,35.6502
139.566391,35.656006
139.566544,35.656261
139.553894,35.646084
139.544022,35.644505
139.548019,35.655125
139.547409,35.653137
139.573532,35.654198
139.545425,35.651062
139.546753,35.657372
139.548843,35.6521
139.554367,35.655457
139.574066,35.658138
139.575211,35.658897
139.566589,35.663731
139.565292,35.662292
139.539719,35.662392
139.546967,35.651669
139.545532,35.655334
139.543167,35.65583
139.544357,35.653538
139.55101,35.648907
139.530853,35.656799
139.521759,35.664433
139.558685,35.649574
139.561813,35.645908
139.557114,35.643215
139.54037,35.65609
139.534012,35.655945
139.52383,35.66059
139.58655,35.65545
139.52269,35.666344
139.529556,35.656143
139.543716,35.65382
139.531693,35.658543
139.51966,35.65913
139.545441,35.656986
139.542984,35.648808
139.541931,35.655357
139.544601,35.654434
139.533813,35.643463
139.530548,35.654701
139.566727,35.653786
139.567001,35.652649
139.546509,35.678631
139.546402,35.677456
139.547592,35.667332
139.555191,35.669533
139.524078,35.661945
139.546082,35.653873
139.5289,35.66367
139.552185,35.655285
139.55164,35.65561
139.552017,35.656448
139.551727,35.650463
139.540237,35.651039
139.589203,35.65979
139.529861,35.658142
139.547256,35.651882
139.54283,35.6576
139.5437,35.65549
139.54277,35.65181
139.585297,35.663132
139.547974,35.653828
139.582962,35.6632
139.58387,35.66337
139.572815,35.658535
139.573654,35.658928
139.5728,35.659199
139.573822,35.659538
139.574829,35.659275
139.568146,35.657658
139.56705,35.65567
139.564377,35.654678
139.55975,35.65218
139.55867,35.652763
139.551361,35.651577
139.544434,35.652725
139.54567,35.652378
139.546097,35.652855
139.54509,35.652443
139.5455,35.65264
139.545944,35.652348
139.546371,35.651993
139.549927,35.651215
139.554291,35.650059
139.542633,35.653488
139.54045,35.65385
139.54155,35.654461
139.547379,35.667751
139.522049,35.659733
139.523621,35.661095
139.524033,35.661606
139.540421,35.650005
139.541885,35.654346
139.548706,35.666958
139.559677,35.672623
139.544128,35.650494
139.581909,35.650101
139.586258,35.659092
139.585587,35.661644
139.586182,35.660618
139.5867,35.660851
139.543701,35.650455
139.543777,35.650826
139.543167,35.650585
139.543167,35.649811
139.567627,35.65604
139.528397,35.658092
139.584915,35.662296
139.55832,35.65013
139.54985,35.666733
139.549026,35.668091
139.551468,35.665829
139.550476,35.666622
139.549225,35.670731
139.529205,35.655182
139.58578,35.65954
139.585892,35.659866
139.586288,35.661076
139.587387,35.661213
139.544556,35.652164
139.52331,35.66036
139.54445,35.65198
139.526047,35.646538
139.542542,35.64851
139.583466,35.665607
139.544357,35.651218
139.543518,35.652805
139.546753,35.652599
139.546646,35.652046
139.550293,35.663887
139.528671,35.652924
139.57528,35.65812
139.53,35.65712
139.52951,35.654644
139.530701,35.65786
139.52339,35.66008
139.5755,35.65821
139.577011,35.658257
139.575592,35.658741
139.546021,35.650959
139.54938,35.64696
139.547806,35.662521
139.547012,35.653282
139.541351,35.649075
139.54222,35.6641
139.544189,35.671612
139.562637,35.648514
139.558289,35.648975
139.544983,35.654556
139.54506,35.65523
139.536545,35.651512
139.557465,35.649532
139.560364,35.647236
139.542923,35.64856
139.543442,35.648357
139.542831,35.652763
139.542267,35.650528
