lon,lat
139.554901,35.677544
139.52167,35.66242
139.53132,35.65871
139.55668,35.65253
139.545685,35.647976
139.547409,35.647556
139.565018,35.64819
139.560684,35.650097
139.559708,35.650246
139.559418,35.64753
139.564697,35.65292
139.567459,35.655643
139.567017,35.654694
139.56635,35.6509
139.567383,35.653927
139.567596,35.652672
139.57999,35.64836
139.538528,35.645023
139.557037,35.639904
139.56105,35.64527
139.552765,35.652878
139.559219,35.651684
139.566483,35.654465
139.56575,35.654743
139.556671,35.652256
139.556824,35.648209
139.559219,35.648628
139.578705,35.63483
139.575241,35.657677
139.576843,35.657188
139.574554,35.658253
139.573227,35.657436
139.574112,35.657814
139.573578,35.658092
139.574051,35.656456
139.566162,35.65189
139.56955,35.656509
139.561508,35.645237
139.56161,35.65876
139.568039,35.654224
139.522873,35.660809
139.560745,35.653137
139.556931,35.663979
139.530121,35.65744
139.556625,35.653397
139.581268,35.65633
139.584076,35.653793
139.56757,35.65429
139.583847,35.661385
139.5431,35.65936
139.59146,35.65353
139.592331,35.652828
139.569962,35.652832
139.591064,35.651154
139.589264,35.661427
139.548477,35.66444
139.54921,35.658936
139.553741,35.666832
139.548325,35.667656
139.55472,35.67699
139.561752,35.667522
139.583481,35.660465
139.57057,35.66146
139.584106,35.664288
139.54759,35.67841
139.556519,35.636326
139.525497,35.646465
139.58859,35.65921
139.569763,35.658081
139.585709,35.660221
139.58284,35.658714
139.580475,35.649555
139.534286,35.646626
139.535278,35.652046
139.529083,35.654865
139.589218,35.658192
139.584717,35.658276
139.5504,35.64687
139.550369,35.649445
139.55834,35.6726
139.537308,35.644489
139.537003,35.645615
139.582382,35.666397
139.589172,35.655972
139.590027,35.656361
139.584152,35.657009
139.588058,35.658268
139.584824,35.660046
139.582855,35.660404
139.584137,35.6605
139.58345,35.661068
139.585617,35.660942
139.58577,35.662037
139.585938,35.662685
139.585602,35.660881
139.585007,35.664421
139.531006,35.65992
139.559464,35.67347
139.540833,35.650555
139.54591,35.65159
139.537552,35.642658
139.55118,35.64334
139.541763,35.643509
139.548004,35.645435
139.546387,35.646122
139.546402,35.647194
139.542114,35.653275
139.540146,35.658154
139.542145,35.660408
139.540787,35.661102
139.54712,35.66084
139.537292,35.644299
139.537598,35.644596
139.538513,35.643852
139.535858,35.646938
139.546341,35.647793
139.53713,35.64481
139.554886,35.674171
139.55455,35.637394
139.575607,35.655529
139.582748,35.649925
139.565247,35.657196
139.54477,35.65179
139.551849,35.649536
139.550507,35.649879
139.54504,35.64894
139.551071,35.649475
139.544327,35.657433
139.521042,35.662659
139.528687,35.658779
139.58461,35.662872
139.528336,35.648163
139.52772,35.65247
139.531128,35.653648
139.52488,35.65686
139.521545,35.659264
139.545349,35.668087
139.545456,35.673523
139.519196,35.65881
139.556503,35.645012
139.557144,35.650234
139.558014,35.650658
139.532471,35.653545
139.550323,35.661476
139.549347,35.664143
139.551376,35.649529
139.587463,35.665123
139.535446,35.662254
139.541443,35.65147
139.584641,35.660683
139.573868,35.660362
